x = 0.3, N = 1000, time = 20.31
x = 0.4, N = 1000, time = 20.79
x = 0.5, N = 1000, time = 20.12
x = 0.6, N = 1000, time = 19.88
x = 0.7, N = 1000, time = 19.14
x = 0.8, N = 1000, time = 18.95
x = 0.9, N = 1000, time = 18.09
x = 1.0, N = 1000, time = 17.17
x = 1.1, N = 913, time = 16.97
x = 1.2, N = 968, time = 16.46
x = 1.3, N = 636, time = 16.55
x = 1.4, N = 62, time = 16.23
x = 1.5, N = 10, time = 16.3
x = 1.6, N = 9, time = 16.32
x = 1.7, N = 10, time = 16.41
x = 1.8, N = 10, time = 16.24
x = 1.9, N = 10, time = 16.35
