x = 0.5, N = 1008, time = 15.91
x = 0.55, N = 1008, time = 15.7
x = 0.6, N = 1007, time = 15.94
x = 0.65, N = 1006, time = 16.11
x = 0.7, N = 1006, time = 95.82
x = 0.75, N = 1003, time = 15.9
x = 0.8, N = 1006, time = 15.9
x = 0.85, N = 1010, time = 16.16
x = 0.9, N = 1005, time = 16.26
x = 0.95, N = 1005, time = 16.4
x = 1.0, N = 1007, time = 16.49
x = 1.05, N = 1007, time = 16.24
x = 1.1, N = 1009, time = 15.69
x = 1.15, N = 1012, time = 15.88
x = 1.2, N = 1006, time = 15.97
x = 1.25, N = 1012, time = 15.73
x = 1.3, N = 1007, time = 15.66
x = 1.35, N = 1006, time = 15.55
x = 1.4, N = 1005, time = 15.5
x = 1.45, N = 1007, time = 15.65
x = 1.5, N = 1004, time = 15.48
x = 1.55, N = 1003, time = 15.17
x = 1.6, N = 1002, time = 15.14
x = 1.65, N = 1000, time = 14.94
x = 1.7, N = 1001, time = 14.99
x = 1.75, N = 1001, time = 15.0
x = 1.8, N = 1000, time = 14.99
x = 1.85, N = 1000, time = 14.92
x = 1.9, N = 1001, time = 14.99
x = 1.95, N = 9, time = 14.93
x = 2.0, N = 6, time = 14.11
