x = 0.5, N = 1000, time = 18.78
x = 0.55, N = 1000, time = 18.47
x = 0.6, N = 1000, time = 18.47
x = 0.65, N = 1000, time = 18.92
x = 0.7, N = 1000, time = 18.48
x = 0.75, N = 1000, time = 18.54
x = 0.8, N = 1000, time = 18.24
x = 0.85, N = 1000, time = 17.85
x = 0.9, N = 1000, time = 17.93
x = 0.95, N = 1000, time = 17.52
x = 1.0, N = 1000, time = 16.77
x = 1.05, N = 989, time = 16.56
x = 1.1, N = 996, time = 16.12
x = 1.15, N = 684, time = 15.86
x = 1.2, N = 897, time = 15.96
x = 1.25, N = 10, time = 15.75
x = 1.3, N = 11, time = 15.76
x = 1.35, N = 11, time = 15.71
x = 1.4, N = 10, time = 15.74
x = 1.45, N = 10, time = 15.76
x = 1.5, N = 10, time = 15.68
x = 1.55, N = 10, time = 15.75
x = 1.6, N = 11, time = 15.64
x = 1.65, N = 11, time = 15.67
x = 1.7, N = 11, time = 15.62
x = 1.75, N = 11, time = 15.7
x = 1.8, N = 9, time = 15.7
x = 1.85, N = 10, time = 15.65
x = 1.9, N = 10, time = 15.75
x = 1.95, N = 11, time = 15.69
