x = 1.1, N = 1009, time = 15.69
x = 1.15, N = 1012, time = 15.88
x = 1.2, N = 1006, time = 15.97
x = 1.25, N = 1012, time = 15.73
x = 1.3, N = 1007, time = 15.66
x = 1.35, N = 1006, time = 15.55
x = 1.4, N = 1005, time = 15.5
x = 1.45, N = 1007, time = 15.65
x = 1.5, N = 1004, time = 15.48
x = 1.55, N = 998, time = 15.17
x = 1.6, N = 988, time = 15.14
x = 1.65, N = 15, time = 14.94
x = 1.7, N = 957, time = 14.99
x = 1.75, N = 868, time = 15.0
x = 1.8, N = 10, time = 14.99
x = 1.85, N = 9, time = 14.92
x = 1.9, N = 9, time = 14.99
x = 1.95, N = 9, time = 14.93
